Function,Category,ID,Column,Current Profile,Target Profile,GDPR Articles,Comments
Identify-P,Inventory and Mapping (ID.IM-P),ID.IM-P1,Systems/products/services that process data are inventoried.,No,No,"Art. 24(1): Responsibilities of Controller, Art. 30: Records of Processing, Art. 35: DPIA for high risk processing activities, Art. 5(2): Accountability",
Identify-P,Inventory and Mapping (ID.IM-P),ID.IM-P2,"Owners or operators (e.g., the organization or third parties such as service providers, partners, customers, and developers) and their roles with respect to the systems/products/services and components (e.g., internal or external) that process data are inventoried.",No,No,"Art. 24(1): Responsibilities of Controller, Art. 26(1): Responsibilities of joint controllers, Art. 28(3): Processing based on documented instructions from the controller, Art. 28(4): Engaging subprocessor, Art. 30: Records of Processing, Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 35(7)(a): Systematic description of the envisaged processing operations, Art. 35(7)(d): Safeguards security measures and mechanisms to ensure the protection of personal data, Art. 5(2): Accountability",
Identify-P,Inventory and Mapping (ID.IM-P),ID.IM-P3,"Categories of individuals (e.g., customers, employees or prospective employees, consumers) whose data are being processed are inventoried.",No,No,"Art. 24(1): Responsibilities of Controller, Art. 30: Records of Processing, Art. 35: DPIA for high risk processing activities, Art. 5(2): Accountability",
Identify-P,Inventory and Mapping (ID.IM-P),ID.IM-P4,Data actions of the systems/products/services are inventoried.,No,No,"Art. 24(1): Responsibilities of Controller, Art. 30: Records of Processing, Art. 5(2): Accountability",
Identify-P,Inventory and Mapping (ID.IM-P),ID.IM-P5,The purposes for the data actions are inventoried.,No,No,"Art. 24(1): Responsibilities of Controller, Art. 28(3)(a): Processor should process based on documented instructions, Art. 28(4): Engaging subprocessor, Art. 29: Processor acting under authority of the controller, Art. 30: Records of Processing, Art. 32(4): Security of Processing - individuals with access to data, Art. 35: DPIA for high risk processing activities, Art. 36: Prior Consultation, Art. 5(1)(a): Lawful Fair and Transparent, Art. 5(1)(b): Purpose Limitation, Art. 5(1)(c): Data Minimization, Art. 5(1)(e): Storage Limitation, Art. 5(2): Accountability",
Identify-P,Inventory and Mapping (ID.IM-P),ID.IM-P6,Data elements within the data actions are inventoried.,No,No,"Art. 24(1): Responsibilities of Controller, Art. 28(3)(h): Processer makes available documentation to controller Art. 30: Records of Processing, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 35: DPIA for high risk processing activities, Art. 36: Prior Consultation, Art. 5(2): Accountability",
Identify-P,Inventory and Mapping (ID.IM-P),ID.IM-P7,"The data processing environment is identified (e.g., geographic location, internal, cloud, third parties). ",No,No,"Art. 24(1): Responsibilities of Controller, Art. 28(3)(h): Processer makes available documentation to controller Art. 30: Records of Processing, Art. 30: Records of Processing, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 35: DPIA for high risk processing activities, Art. 36: Prior Consultation, Art. 5(2): Accountability",
Identify-P,Inventory and Mapping (ID.IM-P),ID.IM-P8,"Data processing is mapped, illustrating the data actions and associated data elements for systems/products/services, including components; roles of the component owners/operators; and interactions of individuals or third parties with the systems/products/services.",No,No,"Art. 24(1): Responsibilities of Controller, Art. 28(3)(h): Processer makes available documentation to controller Art. 30: Records of Processing, Art. 30: Records of Processing, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 35: DPIA for high risk processing activities, Art. 36: Prior Consultation, Art. 5(2): Accountability",
Identify-P,Business Environment (ID.BE-P),ID.BE-P1,The organization’s role(s) in the data processing ecosystem are identified and communicated.,No,No,"Art. 11(2): Processing not requiring identification, Art. 12(1): Clear and plain language, Art. 12(7): Icons, Art. 13: Notice to data subjects, Art. 14: Notice to data subjects, Art. 15(3): Right of Access - copy of data, Art. 17(2): Right of Erasure, Art. 21(4): Notification of right to object, Art. 24(3): Controller adherrance to codes of conduct or certification, Art. 25(3): DPbDD certification, Art. 28(10): Processor default to controller, Art. 28(3)(a): Processor should process based on documented instructions, Art. 28(4): Engaging subprocessor, Art. 28(5): Processor adherance to code of conduct, Art. 28(6): Processor use of standard contract clauses, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 32(3): Security of Processing - Code of Conduct or certification, Art. 40: Codes of Coduct, Art. 41: Monitoring codes of conduct, Art. 42: Certification, Art. 5(1)(a): Lawful Fair and Transparent, Art. 5(1)(f): Integrity and Confidentiality",
Identify-P,Business Environment (ID.BE-P),ID.BE-P2,"Priorities for organizational mission, objectives, and activities are established and communicated.",No,No,"Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 32(3): Security of Processing - Code of Conduct or certification, Art. 5(1)(b): Purpose Limitation",
Identify-P,Business Environment (ID.BE-P),ID.BE-P3,Systems/products/services that support organizational priorities are identified and key requirements communicated.,No,No,"Art. 28(5): Processor adherance to code of conduct, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 40: Codes of Coduct, Art. 41: Monitoring codes of conduct, Art. 42: Certification, Art. 5(1)(f): Integrity and Confidentiality",
Identify-P,Risk Assessment,ID.RA-P1,"Contextual factors related to the systems/products/services and the data actions are identified (e.g., individuals’ demographics and privacy interests or perceptions, data sensitivity and/or types, visibility of data processing to individuals and third parties).",No,No,"Art. 25(1): DPbDD Design, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 35(9):  DPIA seek views of data subjects or their representatives, Art. 35: DPIA for high risk processing activities",
