"Nymity ID","Section","Control Family","Privacy Management Activity"
"NYM-1","1","Maintain Governance Structure","Assign responsibility for data privacy to an individual (e.g. Privacy Officer, General Counsel, CPO, CISO, EU Representative)"
"NYM-2","1","Maintain Governance Structure","Engage senior management in data privacy (e.g. at the Board of Directors. Executive Committee)"
"NYM-3","1","Maintain Governance Structure","Appoint a Data Protection Officer (DPO) in an independent oversight role"
"NYM-4","1","Maintain Governance Structure","Assign responsibility for data privacy throughout the organization (eg. Privacy Network)"
"NYM-5","1","Maintain Governance Structure","Maintain roles and responsibilities for individuals responsible for data privacy (eg. job descriptions)"
"NYM-6","1","Maintain Governance Structure","Conduct regular communication between the privacy office, privacy network and others responsible/accountable for data privacy"
"NYM-7","1","Maintain Governance Structure","Engage stakeholders throughout the organization on data privacy matters (eg. information security, marketing, etc.)"
"NYM-8","1","Maintain Governance Structure","Integrate privacy into the Data Ethics/Stewardship program"
"NYM-9","1","Maintain Governance Structure","Report to internal stakeholders on the status of privacy management (e.g. board of directors, management)"
"NYM-10","1","Maintain Governance Structure","Report to external stakeholders on the status of privacy management (eg. regulators, third-partes, clients)"
"NYM-11","1","Maintain Governance Structure","Manage enterprise privacy risk consistent with organizational objectives"
"NYM-12","1","Maintain Governance Structure","Integrate data privacy into business risk assessments/reporting"
"NYM-13","1","Maintain Governance Structure","Align privacy strategy with organizational objectives"
"NYM-14","1","Maintain Governance Structure","Maintain a privacy program charter/mission statement"
"NYM-15","1","Maintain Governance Structure","Require employees to acknowledge and agree to adhere to the data privacy policies"
"NYM-16","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Maintain an inventory of personal data and/or processing activities"
"NYM-17","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Classify personal data by type (eg sensitive, confidential, public)"
"NYM-18","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Obtain regulator approval for data processing (where prior approval is required)"
"NYM-19","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Register databases with regulators (where registration is required)"
"NYM-20","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Maintain documentation of data flows (eg. between systems, between processes, between countries)"
"NYM-21","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Maintain documentation of the transfer mechanism used for cross-border data flows (e.g.. model clauses, BCRs, regulator approvals)"
"NYM-22","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Use Binding Corporate Rules as a data transfer mechanism"
"NYM-23","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Use contracts as a data transfer mechanism (e.g. Standard Contractual Clauses)"
"NYM-24","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Use APEC Cross Border Privacy Rules as a data transfer mechanism"
"NYM-25","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Use the Data Privacy Framework as a data transfer mechanism"
"NYM-26","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Use regulator approval as a data transfer mechanism"
"NYM-27","2","Maintain Personal Data Inventory and Data Transfer Mechanisms","Use adequacy or one of the derogations (eg. consent performance of a contract, public interist) as a data transfer mechanism"
"NYM-28","3","Maintain Internal Data Privacy Policy","Maintain a data privacy policy"
"NYM-29","3","Maintain Internal Data Privacy Policy","Maintain an employee data privacy policy"
"NYM-30","3","Maintain Internal Data Privacy Policy","Maintain an organizational code of conduct that includes privacy"
"NYM-31","3","Maintain Internal Data Privacy Policy","Document legal basis for processing personal data"
"NYM-32","3","Maintain Internal Data Privacy Policy","Integrate ethics into data processing (Codes of Conduct policies and other measures)"
"NYM-33","4","Embed Data Privacy Into Operations","Maintain policies/procedures for collection and use of sensitive personal data (including biometric data)"
"NYM-34","4","Embed Data Privacy Into Operations","Maintain policies/procedures for collection and use of children and minors personal data"
"NYM-35","4","Embed Data Privacy Into Operations","Maintain policies/procedures for maintaining data quality"
"NYM-36","4","Embed Data Privacy Into Operations","Maintain policies/procedures for the de-identification of personal data"
"NYM-37","4","Embed Data Privacy Into Operations","Maintain policies/procedures to review processing conducted wholly or pertially by automated means"
"NYM-38","4","Embed Data Privacy Into Operations","Maintain policies/procedures for algorithmic accountability"
"NYM-39","4","Embed Data Privacy Into Operations","Maintain policies/procedures for secondary uses of personal data"
"NYM-40","4","Embed Data Privacy Into Operations","Maintain policies/procedures for obtaining valid consent"
"NYM-41","4","Embed Data Privacy Into Operations","Maintain policies/procedures for secure destruction of personal data"
"NYM-42","4","Embed Data Privacy Into Operations","Integrate data privacy into use of cookies and tracking mechanisms"
"NYM-43","4","Embed Data Privacy Into Operations","Integrate data privacy into records retention practices"
"NYM-44","4","Embed Data Privacy Into Operations","Integrate data privacy into direct marketing practices"
