id,organization_id,taxonomy_type,parent_taxonomy_id,source_name,source_reference,name,description,status
prt-appropriation,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Appropriation,"Data is used in ways that exceed an individual's expectation or authorization, including situations where the individual would have expected more value or more control with fuller information.",active
prt-distortion,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Distortion,"Inaccurate or misleadingly incomplete data is used or shared, potentially presenting individuals in an inaccurate, unflattering, or disparaging manner.",active
prt-induced-disclosure,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Induced Disclosure,"Individuals feel compelled to provide information disproportionate to the purpose or outcome of the transaction, including where access to an essential service is leveraged.",active
prt-insecurity,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Insecurity,"Lapses in data security expose personal data to unauthorized access, misuse, or compromise.",active
prt-re-identification,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Re-identification,"Data previously de-identified or otherwise disassociated from individuals becomes identifiable again.",active
prt-stigmatization,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Stigmatization,"Data is linked to an actual identity in a way that creates stigma and can contribute to dignity loss or discrimination.",active
prt-surveillance,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Surveillance,"Data, devices, or individuals are tracked or monitored in a manner disproportionate to the purpose.",active
prt-unanticipated-revelation,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Unanticipated Revelation,"Data reveals or exposes an individual or attributes about an individual in unexpected ways, often through aggregation or analysis.",active
prt-unwarranted-restriction,org-acme-inc,problematic_data_action,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Unwarranted Restriction,"Individuals are blocked from data or services, or their awareness of data and its uses is limited in ways disproportionate to operational purposes.",active
prt-dignity-loss,org-acme-inc,problem,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Dignity Loss,"Embarrassment, humiliation, or emotional distress resulting from data processing.",active
prt-discrimination,org-acme-inc,problem,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Discrimination,"Unfair or unethical differential treatment of individuals or groups arising from data processing.",active
prt-economic-loss,org-acme-inc,problem,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Economic Loss,"Direct or indirect financial harm, including identity theft-related loss or failure to receive fair value in a transaction.",active
prt-loss-of-self-determination,org-acme-inc,problem,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Loss of Self Determination,"Individuals lose meaningful ability to influence how their data is processed or how they interact with systems, products, or services.",active
prt-loss-of-autonomy,org-acme-inc,problem,prt-loss-of-self-determination,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Loss of Autonomy,"Individuals lose control over information processing or modify ordinary behavior through self-restriction or chilling effects.",active
prt-loss-of-liberty,org-acme-inc,problem,prt-loss-of-self-determination,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Loss of Liberty,"Improper exposure or use of information contributes to detention, arrest, or other abuse of power affecting freedom.",active
prt-physical-harm,org-acme-inc,problem,prt-loss-of-self-determination,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Physical Harm,"Data processing contributes to bodily injury, safety risk, or death.",active
prt-loss-of-trust,org-acme-inc,problem,,NIST Privacy Framework,Catalog of Problematic Data Actions and Problems,Loss of Trust,"Implicit or explicit expectations about data processing are breached, making individuals reluctant to continue engaging.",active
